model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,5500,-1.049963782231013,-1.859765887260437,-1.3592578172683716,-0.9677051901817322,-0.7839909791946411,-0.7439300417900085,-0.5851327776908875
bidirectional,5600,-1.0364331752061844,-2.0458810329437256,-1.241834282875061,-1.0167056322097778,-0.6911512613296509,-0.7242440581321716,-0.49878278374671936
bidirectional,5700,-0.8880224873622259,-1.8792415857315063,-1.1185364723205566,-0.7646707892417908,-0.48302438855171204,-0.7603701949119568,-0.3222914934158325
bidirectional,5800,-1.0248967160781224,-1.9240049123764038,-1.3101575374603271,-1.0287197828292847,-0.7028993964195251,-0.7583041191101074,-0.42529454827308655
bidirectional,5900,-0.9163315643866857,-1.6823631525039673,-1.1703051328659058,-0.7963900566101074,-0.7039774656295776,-0.6650140285491943,-0.4799395501613617
bidirectional,6000,-0.9939054052035013,-1.9906126260757446,-1.2239406108856201,-0.898202121257782,-0.7568742632865906,-0.6596711277961731,-0.4341316819190979
bidirectional,6100,-0.895460178454717,-1.7797584533691406,-1.084137201309204,-0.7557713389396667,-0.5666612386703491,-0.6957345008850098,-0.49069833755493164
bidirectional,6200,-0.9827716052532196,-1.9498484134674072,-1.3373174667358398,-0.8439199924468994,-0.6352447271347046,-0.6699765920639038,-0.46032243967056274
bidirectional,6300,-1.0408472021420796,-1.9521719217300415,-1.4422953128814697,-1.0311943292617798,-0.640230119228363,-0.6289129853248596,-0.5502785444259644
bidirectional,6400,-0.8389993011951447,-1.862146019935608,-1.1713862419128418,-0.7388285994529724,-0.48153573274612427,-0.44073888659477234,-0.3393603265285492
bidirectional,6500,-0.9815042614936829,-1.785304307937622,-1.2510501146316528,-0.946056067943573,-0.7490556240081787,-0.6299593448638916,-0.527600109577179
bidirectional,6600,-0.976501872142156,-1.90362548828125,-1.1321310997009277,-0.9867794513702393,-0.7282485365867615,-0.6754875779151917,-0.4327390789985657
bidirectional,6700,-0.9390590935945511,-1.7495635747909546,-1.2664610147476196,-0.9416047930717468,-0.6739129424095154,-0.6535326242446899,-0.34927961230278015
bidirectional,6800,-0.9452325602372488,-1.3712536096572876,-1.1736433506011963,-1.0211979150772095,-0.7957788109779358,-0.7945634722709656,-0.5149582028388977
bidirectional,6900,-0.9606258720159531,-1.8671468496322632,-1.3311245441436768,-0.8474908471107483,-0.5958734154701233,-0.6958922147750854,-0.4262273609638214
bidirectional,7000,-0.8384689390659332,-1.93784761428833,-1.0269743204116821,-0.7090267539024353,-0.42444491386413574,-0.5170793533325195,-0.4154406785964966
bidirectional,7100,-1.0089014768600464,-1.943753719329834,-1.2117705345153809,-0.9728278517723083,-0.6597264409065247,-0.7198663949966431,-0.5454639196395874
bidirectional,7200,-0.9696921855211258,-1.8156101703643799,-1.2224819660186768,-1.0230504274368286,-0.6733026504516602,-0.6410686373710632,-0.4426392614841461
bidirectional,7300,-1.0185658435026805,-1.9923123121261597,-1.2603759765625,-1.0295357704162598,-0.6171792149543762,-0.7597588896751404,-0.45223289728164673
bidirectional,7400,-0.9658834536870321,-1.550095796585083,-1.3016711473464966,-0.980802595615387,-0.6511045694351196,-0.7935472726821899,-0.5180793404579163
bidirectional,7500,-0.6959244112173716,-1.4145559072494507,-0.8361918330192566,-0.4951629936695099,-0.3842712938785553,-0.5306777954101562,-0.514686644077301
bidirectional,7600,-1.0047015448411305,-2.0057876110076904,-1.0620367527008057,-1.007826805114746,-0.7353090047836304,-0.6800393462181091,-0.5372097492218018
bidirectional,7700,-0.7693144033352534,-1.2393711805343628,-1.2384573221206665,-0.850127100944519,-0.570554792881012,-0.45812490582466125,-0.25925111770629883
bidirectional,7800,-0.955227792263031,-1.9287517070770264,-1.1777536869049072,-0.8509565591812134,-0.6542535424232483,-0.6635408401489258,-0.456110417842865
bidirectional,7900,-0.8344371144970258,-1.8689401149749756,-1.2081880569458008,-0.6617286205291748,-0.40890243649482727,-0.6282383799552917,-0.23062507808208466
bidirectional,8000,-0.8334392408529917,-1.6618473529815674,-1.1406480073928833,-0.809562087059021,-0.5183553695678711,-0.4521714746952057,-0.418051153421402
bidirectional,8100,-1.0186078647772472,-1.8665772676467896,-1.3643733263015747,-0.959622323513031,-0.7929089069366455,-0.6762609481811523,-0.45190441608428955
bidirectional,8200,-1.0828562080860138,-1.9872446060180664,-1.388457179069519,-1.0735983848571777,-0.8323816657066345,-0.6891728043556213,-0.5262826085090637
